struct,dist,Emin,Emax,pngfile
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-0.5,0.0,PARCHG-0.5-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-0.5,0.0,PARCHG-0.5-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-0.5,0.0,PARCHG-0.5-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-0.5,0.0,PARCHG-0.5-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-0.5,0.0,PARCHG-0.5-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-1.0,0.0,PARCHG-1.0-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-1.0,0.0,PARCHG-1.0-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-1.0,0.0,PARCHG-1.0-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-1.0,0.0,PARCHG-1.0-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-1.0,0.0,PARCHG-1.0-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-1.0,1.0,PARCHG-1.0-1.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-1.0,1.0,PARCHG-1.0-1.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-1.0,1.0,PARCHG-1.0-1.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-1.0,1.0,PARCHG-1.0-1.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-1.0,1.0,PARCHG-1.0-1.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-1.5,0.0,PARCHG-1.5-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-1.5,0.0,PARCHG-1.5-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-1.5,0.0,PARCHG-1.5-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-1.5,0.0,PARCHG-1.5-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-1.5,0.0,PARCHG-1.5-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-1.5,1.5,PARCHG-1.5-1.5_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-1.5,1.5,PARCHG-1.5-1.5_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-1.5,1.5,PARCHG-1.5-1.5_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-1.5,1.5,PARCHG-1.5-1.5_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-1.5,1.5,PARCHG-1.5-1.5_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-2.0,0.0,PARCHG-2.0-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-2.0,0.0,PARCHG-2.0-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-2.0,0.0,PARCHG-2.0-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-2.0,0.0,PARCHG-2.0-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-2.0,0.0,PARCHG-2.0-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-2.0,2.0,PARCHG-2.0-2.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-2.0,2.0,PARCHG-2.0-2.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-2.0,2.0,PARCHG-2.0-2.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-2.0,2.0,PARCHG-2.0-2.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-2.0,2.0,PARCHG-2.0-2.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-2.5,0.0,PARCHG-2.5-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-2.5,0.0,PARCHG-2.5-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-2.5,0.0,PARCHG-2.5-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-2.5,0.0,PARCHG-2.5-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-2.5,0.0,PARCHG-2.5-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-2.5,2.5,PARCHG-2.5-2.5_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-2.5,2.5,PARCHG-2.5-2.5_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-2.5,2.5,PARCHG-2.5-2.5_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-2.5,2.5,PARCHG-2.5-2.5_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-2.5,2.5,PARCHG-2.5-2.5_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-3.0,0.0,PARCHG-3.0-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-3.0,0.0,PARCHG-3.0-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-3.0,0.0,PARCHG-3.0-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-3.0,0.0,PARCHG-3.0-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-3.0,0.0,PARCHG-3.0-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-3.0,3.0,PARCHG-3.0-3.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-3.0,3.0,PARCHG-3.0-3.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-3.0,3.0,PARCHG-3.0-3.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-3.0,3.0,PARCHG-3.0-3.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-3.0,3.0,PARCHG-3.0-3.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-3.5,0.0,PARCHG-3.5-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-3.5,0.0,PARCHG-3.5-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-3.5,0.0,PARCHG-3.5-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-3.5,0.0,PARCHG-3.5-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-3.5,0.0,PARCHG-3.5-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-3.5,3.5,PARCHG-3.5-3.5_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-3.5,3.5,PARCHG-3.5-3.5_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-3.5,3.5,PARCHG-3.5-3.5_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-3.5,3.5,PARCHG-3.5-3.5_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-3.5,3.5,PARCHG-3.5-3.5_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-4.0,0.0,PARCHG-4.0-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-4.0,0.0,PARCHG-4.0-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-4.0,0.0,PARCHG-4.0-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-4.0,0.0,PARCHG-4.0-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-4.0,0.0,PARCHG-4.0-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-4.0,4.0,PARCHG-4.0-4.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-4.0,4.0,PARCHG-4.0-4.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-4.0,4.0,PARCHG-4.0-4.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-4.0,4.0,PARCHG-4.0-4.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-4.0,4.0,PARCHG-4.0-4.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-4.5,0.0,PARCHG-4.5-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-4.5,0.0,PARCHG-4.5-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-4.5,0.0,PARCHG-4.5-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-4.5,0.0,PARCHG-4.5-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-4.5,0.0,PARCHG-4.5-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-4.5,4.5,PARCHG-4.5-4.5_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-4.5,4.5,PARCHG-4.5-4.5_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-4.5,4.5,PARCHG-4.5-4.5_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-4.5,4.5,PARCHG-4.5-4.5_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-4.5,4.5,PARCHG-4.5-4.5_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-5.0,0.0,PARCHG-5.0-0.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-5.0,0.0,PARCHG-5.0-0.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-5.0,0.0,PARCHG-5.0-0.0_2.0.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.25,-5.0,0.0,PARCHG-5.0-0.0_2.25.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.5,-5.0,0.0,PARCHG-5.0-0.0_2.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.5,-5.0,5.0,PARCHG-5.0-5.0_1.5.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,1.75,-5.0,5.0,PARCHG-5.0-5.0_1.75.png
/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,2.0,-5.0,5.0,PARCHG-5.0-5.0_2.0.png
