,struct,PNG,dist,emin,emax
0,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-3.5-3.5_2.5.png,2.5,-3.5,3.5
1,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/005-delta3_1L_4x2_3Ag_fcc111_F2_0deg_nvt/VASP/16000/PARCHG-3.5-0.0_1.5.png,1.5,-3.5,0.0
2,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/0/PARCHG-7.5-7.5_2.25.png,2.25,-7.5,7.5
3,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/0/PARCHG-4.5-0.0_2.5.png,2.5,-4.5,0.0
4,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/12000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/12000/PARCHG-3.5-3.5_1.5.png,1.5,-3.5,3.5
5,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/16000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/007-delta6_1L_2x3_3Ag_fcc111_0deg_nvt/VASP/16000/PARCHG-1.0-1.0_1.75.png,1.75,-1.0,1.0
6,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/003-beta13_1L_2x2_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-5.0-0.0_2.5.png,2.5,-5.0,0.0
7,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/0/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/006-delta4_1L_3x3_3Ag_fcc111_0deg_nvt/VASP/0/PARCHG-1.0-1.0_1.5.png,1.5,-1.0,1.0
8,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/2000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/004-chi2_1L_1x1_3Ag_fcc111_F2_0deg_nvt/VASP/2000/PARCHG-4.0-4.0_1.5.png,1.5,-4.0,4.0
9,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/POSCAR,/home/allouche/Works/STMBorophene/copiesBrutData/tests/001-alpha_1L_1x2_3Ag_fcc111_F2_0deg_nvt/VASP/18000/PARCHG-4.5-0.0_2.0.png,2.0,-4.5,0.0
